Property_ID,BHK,Area_SqFt,Locality,Locality_Tier,Price_Lakhs,Price_Per_SqFt,Property_Type,Furnishing_Status,Construction_Status,Property_Overview,Investment_Analysis,Location_Advantages,Target_Buyers,Total_Amenities,Amenities,Nearby_Features,Selling_Points,Views_Facing,Quality_Score,Quality_Rating,Quality_Out_Of_100,Locality_Avg_Price,Locality_Character,Locality_Description,Ideal_For,Market_Position,Price_vs_Market_Percent,Investment_Recommendation,AI_Model,Analysis_Type,Batch_Number
42,4.0,2835.0,Bhadaj,Tier 3,315.0,11111.11,Independent House,Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.25,Poor,32.5,182.04,Premium & Emerging & Spacious,"A high-end residential area, developing area, larger properties","Families, High-Income Buyers",Above Market - Overpriced,73.04,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
43,4.0,3695.0,Satellite,Tier 1,312.0,8443.84,Apartment,Furnished,Under Construction,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.5,Poor,35.0,126.55,Premium & Active & Spacious,"A high-end residential area, good market activity, larger properties","Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,146.54,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
44,4.0,2620.0,Shilaj,Tier 2,311.0,11870.23,Apartment,Semi-Furnished,Under Construction,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.5,Poor,35.0,98.15,Mid-Range & Highly Active & Comfortable,"A well-established residential locality, high market activity, moderately-sized properties","Families, Upper-Middle Class, Apartment Seekers",Above Market - Overpriced,216.86,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
45,4.0,4230.0,Ambli,Tier 3,311.0,7352.25,Apartment,Furnished,Under Construction,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.25,Poor,32.5,217.89,Premium & Emerging & Spacious,"A high-end residential area, developing area, larger properties","Large Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,42.73,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
46,4.0,4230.0,Ambli,Tier 3,311.0,7352.25,Apartment,Furnished,Under Construction,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.25,Poor,32.5,217.89,Premium & Emerging & Spacious,"A high-end residential area, developing area, larger properties","Large Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,42.73,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
47,4.0,2035.0,Ambli,Tier 3,311.0,15282.56,Apartment,Furnished,Under Construction,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.5,Poor,35.0,217.89,Premium & Emerging & Spacious,"A high-end residential area, developing area, larger properties","Large Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,42.73,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
48,4.0,3538.0,Shela,Tier 2,310.0,8762.01,Apartment,Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.0,Poor,30.0,94.26,Mid-Range & Highly Active & Comfortable,"A well-established residential locality, high market activity, moderately-sized properties","Families, Upper-Middle Class, Apartment Seekers",Above Market - Overpriced,228.88,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
49,4.0,3538.0,Shela,Tier 2,310.0,8762.01,Apartment,Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.0,Poor,30.0,94.26,Mid-Range & Highly Active & Comfortable,"A well-established residential locality, high market activity, moderately-sized properties","Families, Upper-Middle Class, Apartment Seekers",Above Market - Overpriced,228.88,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
50,5.0,2871.0,Maninagar,Tier 2,310.0,10797.63,Apartment,Semi-Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.0,Poor,30.0,68.2,Mid-Range & Active & Comfortable,"A well-established residential locality, good market activity, moderately-sized properties","Small Families / Working Professionals, Upper-Middle Class, Apartment Seekers",Above Market - Overpriced,354.55,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
51,4.0,2256.0,Hebatpur,Tier 3,308.0,13652.48,Apartment,Furnished,Under Construction,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.5,Poor,35.0,253.0,Premium & Emerging & Spacious,"A high-end residential area, developing area, larger properties","Large Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,21.74,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
52,4.0,2534.0,Science City,Tier 2,307.0,12115.23,Apartment,Furnished,Under Construction,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.5,Poor,35.0,193.84,Premium & Emerging & Spacious,"A high-end residential area, developing area, larger properties","Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,58.38,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
53,4.0,2583.0,Vastral,Tier 2,305.0,11807.98,Independent House,Unfurnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.0,Poor,30.0,61.14,Mid-Range & Active & Comfortable,"A well-established residential locality, good market activity, moderately-sized properties","Small Families / Working Professionals, Upper-Middle Class, Apartment Seekers",Above Market - Overpriced,398.86,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
54,4.0,3591.0,Gota,Tier 2,305.0,8493.46,Apartment,Unfurnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.25,Poor,32.5,101.14,Premium & Highly Active & Comfortable,"A high-end residential area, high market activity, moderately-sized properties","Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,201.56,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
55,4.0,2583.0,Vastral,Tier 2,305.0,11807.98,Independent House,Unfurnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.0,Poor,30.0,61.14,Mid-Range & Active & Comfortable,"A well-established residential locality, good market activity, moderately-sized properties","Small Families / Working Professionals, Upper-Middle Class, Apartment Seekers",Above Market - Overpriced,398.86,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
56,4.0,3591.0,Gota,Tier 2,305.0,8493.46,Apartment,Unfurnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.25,Poor,32.5,101.14,Premium & Highly Active & Comfortable,"A high-end residential area, high market activity, moderately-sized properties","Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,201.56,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
57,4.0,3591.0,Gota,Tier 2,305.0,8493.46,Apartment,Unfurnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.25,Poor,32.5,101.14,Premium & Highly Active & Comfortable,"A high-end residential area, high market activity, moderately-sized properties","Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,201.56,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
58,4.0,2583.0,Vastral,Tier 2,305.0,11807.98,Independent House,Unfurnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.0,Poor,30.0,61.14,Mid-Range & Active & Comfortable,"A well-established residential locality, good market activity, moderately-sized properties","Small Families / Working Professionals, Upper-Middle Class, Apartment Seekers",Above Market - Overpriced,398.86,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
59,4.0,2327.0,Ambli,Tier 3,304.0,13064.03,Apartment,Furnished,Under Construction,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.25,Poor,32.5,217.89,Premium & Emerging & Spacious,"A high-end residential area, developing area, larger properties","Large Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,39.52,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
60,5.0,2772.0,Shela,Tier 2,302.0,10894.66,Apartment,Furnished,Under Construction,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.25,Poor,32.5,94.26,Mid-Range & Highly Active & Comfortable,"A well-established residential locality, high market activity, moderately-sized properties","Families, Upper-Middle Class, Apartment Seekers",Above Market - Overpriced,220.39,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
61,4.0,3538.0,Shela,Tier 2,302.0,8535.9,Apartment,Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.0,Poor,30.0,94.26,Mid-Range & Highly Active & Comfortable,"A well-established residential locality, high market activity, moderately-sized properties","Families, Upper-Middle Class, Apartment Seekers",Above Market - Overpriced,220.39,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
62,5.0,2772.0,Shela,Tier 2,302.0,10894.66,Apartment,Furnished,Under Construction,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.25,Poor,32.5,94.26,Mid-Range & Highly Active & Comfortable,"A well-established residential locality, high market activity, moderately-sized properties","Families, Upper-Middle Class, Apartment Seekers",Above Market - Overpriced,220.39,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
63,4.0,2750.0,Sola,Tier 2,301.0,10945.45,Apartment,Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.25,Poor,32.5,131.05,Premium & Emerging & Spacious,"A high-end residential area, developing area, larger properties","Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,129.68,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
64,4.0,2750.0,Sola,Tier 2,301.0,10945.45,Apartment,Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.25,Poor,32.5,131.05,Premium & Emerging & Spacious,"A high-end residential area, developing area, larger properties","Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,129.68,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
65,4.0,350.0,Bopal,Tier 1,300.0,85714.29,Apartment,Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.25,Poor,32.5,104.61,Premium & Highly Active & Comfortable,"A high-end residential area, high market activity, moderately-sized properties","Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,186.78,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
66,4.0,3538.0,Shela,Tier 2,300.0,8479.37,Apartment,Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.0,Poor,30.0,94.26,Mid-Range & Highly Active & Comfortable,"A well-established residential locality, high market activity, moderately-sized properties","Families, Upper-Middle Class, Apartment Seekers",Above Market - Overpriced,218.27,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
67,4.0,2310.0,Bodakdev,Tier 1,300.0,12987.01,Apartment,Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.25,Poor,32.5,189.7,Premium & Emerging & Spacious,"A high-end residential area, developing area, larger properties","Large Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,58.14,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
68,4.0,3000.0,Motera,Tier 2,300.0,10000.0,Apartment,Semi-Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.0,Poor,30.0,114.48,Premium & Emerging & Spacious,"A high-end residential area, developing area, larger properties","Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,162.05,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
69,4.0,4550.0,Hansol,Tier 3,300.0,6593.41,Apartment,Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.25,Poor,32.5,119.95,Premium & Emerging & Spacious,"A high-end residential area, developing area, larger properties","Large Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,150.1,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
70,4.0,2835.0,Manipur,Tier 3,300.0,10582.01,Apartment,Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.25,Poor,32.5,95.79,Mid-Range & Emerging & Comfortable,"A well-established residential locality, developing area, moderately-sized properties","Small Families / Working Professionals, Upper-Middle Class, Apartment Seekers",Above Market - Overpriced,213.19,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
71,4.0,3220.0,Sarkhej,Tier 3,300.0,9316.77,Apartment,Semi-Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.0,Poor,30.0,87.84,Mid-Range & Active & Comfortable,"A well-established residential locality, good market activity, moderately-sized properties","Small Families / Working Professionals, Upper-Middle Class, Apartment Seekers",Above Market - Overpriced,241.53,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
72,4.0,1925.0,Thaltej,Tier 1,300.0,15584.42,Apartment,Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.25,Poor,32.5,157.88,Premium & Active & Spacious,"A high-end residential area, good market activity, larger properties","Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,90.02,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
73,4.0,2500.0,Thaltej,Tier 1,300.0,12000.0,Apartment,Semi-Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.25,Poor,32.5,157.88,Premium & Active & Spacious,"A high-end residential area, good market activity, larger properties","Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,90.02,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
74,4.0,2500.0,Thaltej,Tier 1,300.0,12000.0,Apartment,Semi-Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.25,Poor,32.5,157.88,Premium & Active & Spacious,"A high-end residential area, good market activity, larger properties","Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,90.02,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
75,4.0,2350.0,Ambli,Tier 3,300.0,12765.96,Apartment,Furnished,Under Construction,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.5,Poor,35.0,217.89,Premium & Emerging & Spacious,"A high-end residential area, developing area, larger properties","Large Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,37.68,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
76,4.0,2350.0,Ambli,Tier 3,300.0,12765.96,Apartment,Furnished,Under Construction,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.5,Poor,35.0,217.89,Premium & Emerging & Spacious,"A high-end residential area, developing area, larger properties","Large Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,37.68,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
77,3.0,2750.0,Shahibaug,Tier 2,300.0,10909.09,Apartment,Unfurnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.0,Poor,30.0,199.86,Premium & Emerging & Spacious,"A high-end residential area, developing area, larger properties","Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,50.11,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
78,5.0,3250.0,Bopal,Tier 1,300.0,9230.77,Apartment,Furnished,Under Construction,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.5,Poor,35.0,104.61,Premium & Highly Active & Comfortable,"A high-end residential area, high market activity, moderately-sized properties","Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,186.78,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
79,4.0,2310.0,Bodakdev,Tier 1,300.0,12987.01,Apartment,Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.25,Poor,32.5,189.7,Premium & Emerging & Spacious,"A high-end residential area, developing area, larger properties","Large Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,58.14,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
80,3.0,2750.0,Shahibaug,Tier 2,300.0,10909.09,Apartment,Unfurnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.0,Poor,30.0,199.86,Premium & Emerging & Spacious,"A high-end residential area, developing area, larger properties","Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,50.11,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
81,4.0,2000.0,New CG Road,Tier 1,300.0,15000.0,Apartment,Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.25,Poor,32.5,115.29,Premium & Emerging & Well-Facilitated & Comfortable,"A high-end residential area, developing area, good basic facilities, moderately-sized properties","Small Families / Working Professionals, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,160.21,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
82,3.0,2750.0,Shahibaug,Tier 2,300.0,10909.09,Apartment,Unfurnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.0,Poor,30.0,199.86,Premium & Emerging & Spacious,"A high-end residential area, developing area, larger properties","Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,50.11,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
83,6.0,2150.0,Vasna,Tier 2,300.0,13953.49,Apartment,Semi-Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.0,Poor,30.0,67.32,Mid-Range & Emerging & Compact,"A well-established residential locality, developing area, compact living spaces","Small Families / Working Professionals, Upper-Middle Class, Apartment Seekers",Above Market - Overpriced,345.63,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
